Abdon;Abdonie;M
Abel;Ablu;M
Abercjusz;Abercjuszu;M
Abraham;Abrahamie;M
Absalon;Absalonie;M
Achacjusz;Achacjuszu;M
Achacy;Achacy;M
Achilles;Achillesie;M
Ada;Ado;K
Adalbert;Adalbercie;M
Adam;Admie;M
Adamina;Adamino;K
Adaukt;Adaukcie;M
Addar;Addarze;M
Adela;Adelo;K
Adelajda;Adelajdo;K
Adelina;Adelino;K
Ado;Ado;M
Adolf;Adolfie;M
Adolfa;Adolfo;K
Adolfina;Adolfino;K
Adria;Adrio;K
Adrian;Adrianie;M
Adriana;Adriano;K
Adrianna;Adrianno;K
Afanazy;Anafazy;M
Afrodyta;Afrodyto;K
Aga;Ago;K
Agapit;Agapicie;M
Agata;Agato;K
Agaton;Agatonie;M
Agatonik;Agatoniku;M
Agenor;Agenorze;M
Ageusz;Ageuszu;M
Agnieszka;Agnieszko;K
Agrypina;Agrypino;K
Aida;Aido;K
Aisza;Aiszo;K
Alan;Alanie;M
Alban;Albanie;M
Albaniusz;Albaniuszu;M
Albert;Albercie;M
Alberta;Alberto;K
Albertyna;Albertyno;K
Albin;Albinie;M
Albina;Albino;K
Albrecht;Albrechcie;M
Aldona;Aldono;K
Aleksander;Aleksandrze;M
Aleksandra;Aleksandro;K
Aleksy;Aleksy;M
Alf;Alfie;M
Alfons;Alfonsie;M
Alfonsyna;Alfonsyno;K
Alfred;Alfredzie;M
Alfreda;Alfredo;K
Ali;Ali;M
Alicja;Alicjo;K
Alina;Alino;K
Alma;Almo;K
Alojza;Alojzo;K
Alojzy;Alojzy;M
Alpinian;Alpininie;M
Amadea;Amadeo;K
Amadeusz;Amadeuszu;M
Amalia;Amalio;K
Amata;Amato;K
Ambroży;Ambroży;M
Amedeusz;Amedeuszu;M
Amelia;Amelio;K
Amiceta;Amiceto;K
Amin;Aminie;M
Amon;Amonie;M
Amos;Amosie;M
Ananiasz;"Amaniaszu'';l";M
Anastazja;Anastazjo;K
Anastazy;Anastazy;M
Anatol;Anatolu;M
Anatolia;Anatolino;K
Andonik;Andoniku;M
Andromeda;Andromedo;K
Andron;Andronie;M
Andrzej;Andrzeju;M
Aneta;Aneto;K
Angel;Angelu;M
Angela;Angelo;K
Angelika;Angeliko;K
Angelina;Angelino;K
Angelus;Angelusie;M
Anicet;Anicety;M
Aniceta;Aniceto;K
Aniela;Anielo;K
Anita;Anito;K
Anna;Anno;K
Antoni;Antoni;M
Antonin;Antoninie;M
Antonina;Antonino;K
